FDOT District,Year,Month,Measure Names,Measure Values
Statewide,2020,1,Fatalities,158
Statewide,2020,2,Fatalities,155
Statewide,2020,3,Fatalities,164
Statewide,2020,4,Fatalities,116
Statewide,2020,5,Fatalities,145
Statewide,2020,6,Fatalities,161
Statewide,2020,7,Fatalities,131
Statewide,2020,8,Fatalities,128
Statewide,2020,9,Fatalities,160
Statewide,2020,10,Fatalities,163
Statewide,2020,11,Fatalities,164
Statewide,2020,12,Fatalities,157
Statewide,2019,1,Fatalities,140
Statewide,2019,2,Fatalities,154
Statewide,2019,3,Fatalities,182
Statewide,2019,4,Fatalities,148
Statewide,2019,5,Fatalities,140
Statewide,2019,6,Fatalities,150
Statewide,2019,7,Fatalities,134
Statewide,2019,8,Fatalities,140
Statewide,2019,9,Fatalities,129
Statewide,2019,10,Fatalities,134
Statewide,2019,11,Fatalities,173
Statewide,2019,12,Fatalities,153
Statewide,2018,1,Fatalities,135
Statewide,2018,2,Fatalities,140
Statewide,2018,3,Fatalities,179
Statewide,2018,4,Fatalities,158
Statewide,2018,5,Fatalities,149
Statewide,2018,6,Fatalities,136
Statewide,2018,7,Fatalities,98
Statewide,2018,8,Fatalities,141
Statewide,2018,9,Fatalities,129
Statewide,2018,10,Fatalities,161
Statewide,2018,11,Fatalities,107
Statewide,2018,12,Fatalities,163
Statewide,2017,1,Fatalities,144
Statewide,2017,2,Fatalities,104
Statewide,2017,3,Fatalities,177
Statewide,2017,4,Fatalities,147
Statewide,2017,5,Fatalities,144
Statewide,2017,6,Fatalities,157
Statewide,2017,7,Fatalities,136
Statewide,2017,8,Fatalities,111
Statewide,2017,9,Fatalities,122
Statewide,2017,10,Fatalities,135
Statewide,2017,11,Fatalities,144
Statewide,2017,12,Fatalities,161
Statewide,2020,1,Serious Injuries,655
Statewide,2020,2,Serious Injuries,669
Statewide,2020,3,Serious Injuries,702
Statewide,2020,4,Serious Injuries,355
Statewide,2020,5,Serious Injuries,586
Statewide,2020,6,Serious Injuries,584
Statewide,2020,7,Serious Injuries,610
Statewide,2020,8,Serious Injuries,652
Statewide,2020,9,Serious Injuries,617
Statewide,2020,10,Serious Injuries,699
Statewide,2020,11,Serious Injuries,652
Statewide,2020,12,Serious Injuries,709
Statewide,2019,1,Serious Injuries,712
Statewide,2019,2,Serious Injuries,735
Statewide,2019,3,Serious Injuries,857
Statewide,2019,4,Serious Injuries,744
Statewide,2019,5,Serious Injuries,786
Statewide,2019,6,Serious Injuries,658
Statewide,2019,7,Serious Injuries,646
Statewide,2019,8,Serious Injuries,671
Statewide,2019,9,Serious Injuries,679
Statewide,2019,10,Serious Injuries,754
Statewide,2019,11,Serious Injuries,694
Statewide,2019,12,Serious Injuries,706
Statewide,2018,1,Serious Injuries,761
Statewide,2018,2,Serious Injuries,800
Statewide,2018,3,Serious Injuries,1005
Statewide,2018,4,Serious Injuries,784
Statewide,2018,5,Serious Injuries,805
Statewide,2018,6,Serious Injuries,723
Statewide,2018,7,Serious Injuries,752
Statewide,2018,8,Serious Injuries,700
Statewide,2018,9,Serious Injuries,749
Statewide,2018,10,Serious Injuries,777
Statewide,2018,11,Serious Injuries,762
Statewide,2018,12,Serious Injuries,806
Statewide,2017,1,Serious Injuries,835
Statewide,2017,2,Serious Injuries,840
Statewide,2017,3,Serious Injuries,1013
Statewide,2017,4,Serious Injuries,933
Statewide,2017,5,Serious Injuries,843
Statewide,2017,6,Serious Injuries,795
Statewide,2017,7,Serious Injuries,832
Statewide,2017,8,Serious Injuries,782
Statewide,2017,9,Serious Injuries,786
Statewide,2017,10,Serious Injuries,873
Statewide,2017,11,Serious Injuries,856
Statewide,2017,12,Serious Injuries,887
Statewide,2020,1,Crashes,21364
Statewide,2020,2,Crashes,20887
Statewide,2020,3,Crashes,16640
Statewide,2020,4,Crashes,9140
Statewide,2020,5,Crashes,14142
Statewide,2020,6,Crashes,15790
Statewide,2020,7,Crashes,16777
Statewide,2020,8,Crashes,17726
Statewide,2020,9,Crashes,18328
Statewide,2020,10,Crashes,19959
Statewide,2020,11,Crashes,18571
Statewide,2020,12,Crashes,19156
Statewide,2019,1,Crashes,21372
Statewide,2019,2,Crashes,21084
Statewide,2019,3,Crashes,23497
Statewide,2019,4,Crashes,21773
Statewide,2019,5,Crashes,22220
Statewide,2019,6,Crashes,20628
Statewide,2019,7,Crashes,20381
Statewide,2019,8,Crashes,22601
Statewide,2019,9,Crashes,19254
Statewide,2019,10,Crashes,23040
Statewide,2019,11,Crashes,21193
Statewide,2019,12,Crashes,23265
Statewide,2018,1,Crashes,22695
Statewide,2018,2,Crashes,21091
Statewide,2018,3,Crashes,24682
Statewide,2018,4,Crashes,22637
Statewide,2018,5,Crashes,23623
Statewide,2018,6,Crashes,20851
Statewide,2018,7,Crashes,21231
Statewide,2018,8,Crashes,22573
Statewide,2018,9,Crashes,20687
Statewide,2018,10,Crashes,21889
Statewide,2018,11,Crashes,22259
Statewide,2018,12,Crashes,23165
Statewide,2017,1,Crashes,21735
Statewide,2017,2,Crashes,21198
Statewide,2017,3,Crashes,24316
Statewide,2017,4,Crashes,22356
Statewide,2017,5,Crashes,22113
Statewide,2017,6,Crashes,21022
Statewide,2017,7,Crashes,21175
Statewide,2017,8,Crashes,22342
Statewide,2017,9,Crashes,20672
Statewide,2017,10,Crashes,24644
Statewide,2017,11,Crashes,23291
Statewide,2017,12,Crashes,22983
1,2020,1,Fatalities,25
1,2020,2,Fatalities,21
1,2020,3,Fatalities,35
1,2020,4,Fatalities,14
1,2020,5,Fatalities,23
1,2020,6,Fatalities,40
1,2020,7,Fatalities,19
1,2020,8,Fatalities,19
1,2020,9,Fatalities,20
1,2020,10,Fatalities,22
1,2020,11,Fatalities,25
1,2020,12,Fatalities,26
1,2019,1,Fatalities,24
1,2019,2,Fatalities,34
1,2019,3,Fatalities,23
1,2019,4,Fatalities,28
1,2019,5,Fatalities,15
1,2019,6,Fatalities,27
1,2019,7,Fatalities,22
1,2019,8,Fatalities,18
1,2019,9,Fatalities,21
1,2019,10,Fatalities,20
1,2019,11,Fatalities,25
1,2019,12,Fatalities,18
1,2018,1,Fatalities,25
1,2018,2,Fatalities,25
1,2018,3,Fatalities,21
1,2018,4,Fatalities,30
1,2018,5,Fatalities,34
1,2018,6,Fatalities,22
1,2018,7,Fatalities,18
1,2018,8,Fatalities,23
1,2018,9,Fatalities,13
1,2018,10,Fatalities,20
1,2018,11,Fatalities,19
1,2018,12,Fatalities,38
1,2017,1,Fatalities,24
1,2017,2,Fatalities,14
1,2017,3,Fatalities,28
1,2017,4,Fatalities,21
1,2017,5,Fatalities,28
1,2017,6,Fatalities,27
1,2017,7,Fatalities,15
1,2017,8,Fatalities,19
1,2017,9,Fatalities,17
1,2017,10,Fatalities,25
1,2017,11,Fatalities,20
1,2017,12,Fatalities,24
1,2020,1,Serious Injuries,127
1,2020,2,Serious Injuries,112
1,2020,3,Serious Injuries,113
1,2020,4,Serious Injuries,62
1,2020,5,Serious Injuries,75
1,2020,6,Serious Injuries,86
1,2020,7,Serious Injuries,73
1,2020,8,Serious Injuries,95
1,2020,9,Serious Injuries,84
1,2020,10,Serious Injuries,112
1,2020,11,Serious Injuries,100
1,2020,12,Serious Injuries,113
1,2019,1,Serious Injuries,125
1,2019,2,Serious Injuries,132
1,2019,3,Serious Injuries,136
1,2019,4,Serious Injuries,130
1,2019,5,Serious Injuries,144
1,2019,6,Serious Injuries,95
1,2019,7,Serious Injuries,129
1,2019,8,Serious Injuries,109
1,2019,9,Serious Injuries,101
1,2019,10,Serious Injuries,120
1,2019,11,Serious Injuries,112
1,2019,12,Serious Injuries,144
1,2018,1,Serious Injuries,177
1,2018,2,Serious Injuries,173
1,2018,3,Serious Injuries,161
1,2018,4,Serious Injuries,141
1,2018,5,Serious Injuries,165
1,2018,6,Serious Injuries,125
1,2018,7,Serious Injuries,123
1,2018,8,Serious Injuries,116
1,2018,9,Serious Injuries,140
1,2018,10,Serious Injuries,126
1,2018,11,Serious Injuries,141
1,2018,12,Serious Injuries,149
1,2017,1,Serious Injuries,145
1,2017,2,Serious Injuries,143
1,2017,3,Serious Injuries,167
1,2017,4,Serious Injuries,167
1,2017,5,Serious Injuries,131
1,2017,6,Serious Injuries,138
1,2017,7,Serious Injuries,133
1,2017,8,Serious Injuries,138
1,2017,9,Serious Injuries,149
1,2017,10,Serious Injuries,114
1,2017,11,Serious Injuries,139
1,2017,12,Serious Injuries,179
1,2020,1,Crashes,2134
1,2020,2,Crashes,2212
1,2020,3,Crashes,1782
1,2020,4,Crashes,1033
1,2020,5,Crashes,1531
1,2020,6,Crashes,1695
1,2020,7,Crashes,1764
1,2020,8,Crashes,1833
1,2020,9,Crashes,1944
1,2020,10,Crashes,2040
1,2020,11,Crashes,2014
1,2020,12,Crashes,2160
1,2019,1,Crashes,2105
1,2019,2,Crashes,2204
1,2019,3,Crashes,2336
1,2019,4,Crashes,2126
1,2019,5,Crashes,1994
1,2019,6,Crashes,1846
1,2019,7,Crashes,1859
1,2019,8,Crashes,2074
1,2019,9,Crashes,1720
1,2019,10,Crashes,2089
1,2019,11,Crashes,2050
1,2019,12,Crashes,2282
1,2018,1,Crashes,2349
1,2018,2,Crashes,2245
1,2018,3,Crashes,2557
1,2018,4,Crashes,2241
1,2018,5,Crashes,2408
1,2018,6,Crashes,1926
1,2018,7,Crashes,1988
1,2018,8,Crashes,2150
1,2018,9,Crashes,1968
1,2018,10,Crashes,1916
1,2018,11,Crashes,2051
1,2018,12,Crashes,2246
1,2017,1,Crashes,2316
1,2017,2,Crashes,2355
1,2017,3,Crashes,2551
1,2017,4,Crashes,2183
1,2017,5,Crashes,2063
1,2017,6,Crashes,2009
1,2017,7,Crashes,1937
1,2017,8,Crashes,2148
1,2017,9,Crashes,2077
1,2017,10,Crashes,2378
1,2017,11,Crashes,2259
1,2017,12,Crashes,2222
2,2020,1,Fatalities,31
2,2020,2,Fatalities,28
2,2020,3,Fatalities,19
2,2020,4,Fatalities,23
2,2020,5,Fatalities,23
2,2020,6,Fatalities,19
2,2020,7,Fatalities,22
2,2020,8,Fatalities,31
2,2020,9,Fatalities,17
2,2020,10,Fatalities,30
2,2020,11,Fatalities,26
2,2020,12,Fatalities,28
2,2019,1,Fatalities,31
2,2019,2,Fatalities,25
2,2019,3,Fatalities,33
2,2019,4,Fatalities,20
2,2019,5,Fatalities,18
2,2019,6,Fatalities,18
2,2019,7,Fatalities,14
2,2019,8,Fatalities,34
2,2019,9,Fatalities,16
2,2019,10,Fatalities,26
2,2019,11,Fatalities,25
2,2019,12,Fatalities,43
2,2018,1,Fatalities,26
2,2018,2,Fatalities,18
2,2018,3,Fatalities,33
2,2018,4,Fatalities,22
2,2018,5,Fatalities,26
2,2018,6,Fatalities,24
2,2018,7,Fatalities,21
2,2018,8,Fatalities,25
2,2018,9,Fatalities,30
2,2018,10,Fatalities,24
2,2018,11,Fatalities,12
2,2018,12,Fatalities,23
2,2017,1,Fatalities,23
2,2017,2,Fatalities,12
2,2017,3,Fatalities,26
2,2017,4,Fatalities,28
2,2017,5,Fatalities,20
2,2017,6,Fatalities,27
2,2017,7,Fatalities,22
2,2017,8,Fatalities,19
2,2017,9,Fatalities,25
2,2017,10,Fatalities,17
2,2017,11,Fatalities,32
2,2017,12,Fatalities,24
2,2020,1,Serious Injuries,85
2,2020,2,Serious Injuries,74
2,2020,3,Serious Injuries,83
2,2020,4,Serious Injuries,46
2,2020,5,Serious Injuries,77
2,2020,6,Serious Injuries,92
2,2020,7,Serious Injuries,71
2,2020,8,Serious Injuries,94
2,2020,9,Serious Injuries,64
2,2020,10,Serious Injuries,72
2,2020,11,Serious Injuries,73
2,2020,12,Serious Injuries,99
2,2019,1,Serious Injuries,72
2,2019,2,Serious Injuries,82
2,2019,3,Serious Injuries,134
2,2019,4,Serious Injuries,109
2,2019,5,Serious Injuries,91
2,2019,6,Serious Injuries,85
2,2019,7,Serious Injuries,77
2,2019,8,Serious Injuries,95
2,2019,9,Serious Injuries,96
2,2019,10,Serious Injuries,99
2,2019,11,Serious Injuries,100
2,2019,12,Serious Injuries,93
2,2018,1,Serious Injuries,92
2,2018,2,Serious Injuries,82
2,2018,3,Serious Injuries,122
2,2018,4,Serious Injuries,93
2,2018,5,Serious Injuries,105
2,2018,6,Serious Injuries,80
2,2018,7,Serious Injuries,102
2,2018,8,Serious Injuries,77
2,2018,9,Serious Injuries,68
2,2018,10,Serious Injuries,89
2,2018,11,Serious Injuries,76
2,2018,12,Serious Injuries,107
2,2017,1,Serious Injuries,121
2,2017,2,Serious Injuries,88
2,2017,3,Serious Injuries,140
2,2017,4,Serious Injuries,128
2,2017,5,Serious Injuries,122
2,2017,6,Serious Injuries,135
2,2017,7,Serious Injuries,105
2,2017,8,Serious Injuries,130
2,2017,9,Serious Injuries,99
2,2017,10,Serious Injuries,118
2,2017,11,Serious Injuries,134
2,2017,12,Serious Injuries,117
2,2020,1,Crashes,2667
2,2020,2,Crashes,2715
2,2020,3,Crashes,2241
2,2020,4,Crashes,1399
2,2020,5,Crashes,2129
2,2020,6,Crashes,2345
2,2020,7,Crashes,2428
2,2020,8,Crashes,2664
2,2020,9,Crashes,2686
2,2020,10,Crashes,2905
2,2020,11,Crashes,2713
2,2020,12,Crashes,2663
2,2019,1,Crashes,2623
2,2019,2,Crashes,2568
2,2019,3,Crashes,2908
2,2019,4,Crashes,2920
2,2019,5,Crashes,2820
2,2019,6,Crashes,2509
2,2019,7,Crashes,2663
2,2019,8,Crashes,3064
2,2019,9,Crashes,2587
2,2019,10,Crashes,3081
2,2019,11,Crashes,2830
2,2019,12,Crashes,3088
2,2018,1,Crashes,2660
2,2018,2,Crashes,2635
2,2018,3,Crashes,3180
2,2018,4,Crashes,2947
2,2018,5,Crashes,3076
2,2018,6,Crashes,2793
2,2018,7,Crashes,2789
2,2018,8,Crashes,3057
2,2018,9,Crashes,2762
2,2018,10,Crashes,2919
2,2018,11,Crashes,2965
2,2018,12,Crashes,3029
2,2017,1,Crashes,2606
2,2017,2,Crashes,2544
2,2017,3,Crashes,2806
2,2017,4,Crashes,2794
2,2017,5,Crashes,2857
2,2017,6,Crashes,2840
2,2017,7,Crashes,2599
2,2017,8,Crashes,2946
2,2017,9,Crashes,2872
2,2017,10,Crashes,3270
2,2017,11,Crashes,3004
2,2017,12,Crashes,3163
3,2020,1,Fatalities,9
3,2020,2,Fatalities,12
3,2020,3,Fatalities,17
3,2020,4,Fatalities,8
3,2020,5,Fatalities,17
3,2020,6,Fatalities,13
3,2020,7,Fatalities,13
3,2020,8,Fatalities,12
3,2020,9,Fatalities,19
3,2020,10,Fatalities,29
3,2020,11,Fatalities,23
3,2020,12,Fatalities,18
3,2019,1,Fatalities,18
3,2019,2,Fatalities,10
3,2019,3,Fatalities,16
3,2019,4,Fatalities,14
3,2019,5,Fatalities,16
3,2019,6,Fatalities,18
3,2019,7,Fatalities,19
3,2019,8,Fatalities,16
3,2019,9,Fatalities,11
3,2019,10,Fatalities,19
3,2019,11,Fatalities,17
3,2019,12,Fatalities,16
3,2018,1,Fatalities,10
3,2018,2,Fatalities,10
3,2018,3,Fatalities,13
3,2018,4,Fatalities,18
3,2018,5,Fatalities,13
3,2018,6,Fatalities,16
3,2018,7,Fatalities,8
3,2018,8,Fatalities,13
3,2018,9,Fatalities,13
3,2018,10,Fatalities,24
3,2018,11,Fatalities,15
3,2018,12,Fatalities,9
3,2017,1,Fatalities,9
3,2017,2,Fatalities,11
3,2017,3,Fatalities,14
3,2017,4,Fatalities,14
3,2017,5,Fatalities,16
3,2017,6,Fatalities,17
3,2017,7,Fatalities,17
3,2017,8,Fatalities,13
3,2017,9,Fatalities,20
3,2017,10,Fatalities,14
3,2017,11,Fatalities,17
3,2017,12,Fatalities,15
3,2020,1,Serious Injuries,19
3,2020,2,Serious Injuries,27
3,2020,3,Serious Injuries,48
3,2020,4,Serious Injuries,15
3,2020,5,Serious Injuries,58
3,2020,6,Serious Injuries,32
3,2020,7,Serious Injuries,37
3,2020,8,Serious Injuries,68
3,2020,9,Serious Injuries,56
3,2020,10,Serious Injuries,60
3,2020,11,Serious Injuries,52
3,2020,12,Serious Injuries,49
3,2019,1,Serious Injuries,60
3,2019,2,Serious Injuries,49
3,2019,3,Serious Injuries,54
3,2019,4,Serious Injuries,55
3,2019,5,Serious Injuries,75
3,2019,6,Serious Injuries,59
3,2019,7,Serious Injuries,40
3,2019,8,Serious Injuries,57
3,2019,9,Serious Injuries,45
3,2019,10,Serious Injuries,65
3,2019,11,Serious Injuries,49
3,2019,12,Serious Injuries,51
3,2018,1,Serious Injuries,58
3,2018,2,Serious Injuries,66
3,2018,3,Serious Injuries,59
3,2018,4,Serious Injuries,56
3,2018,5,Serious Injuries,53
3,2018,6,Serious Injuries,55
3,2018,7,Serious Injuries,65
3,2018,8,Serious Injuries,56
3,2018,9,Serious Injuries,72
3,2018,10,Serious Injuries,61
3,2018,11,Serious Injuries,48
3,2018,12,Serious Injuries,60
3,2017,1,Serious Injuries,68
3,2017,2,Serious Injuries,65
3,2017,3,Serious Injuries,62
3,2017,4,Serious Injuries,78
3,2017,5,Serious Injuries,73
3,2017,6,Serious Injuries,42
3,2017,7,Serious Injuries,75
3,2017,8,Serious Injuries,67
3,2017,9,Serious Injuries,75
3,2017,10,Serious Injuries,80
3,2017,11,Serious Injuries,59
3,2017,12,Serious Injuries,64
3,2020,1,Crashes,1699
3,2020,2,Crashes,1622
3,2020,3,Crashes,1414
3,2020,4,Crashes,769
3,2020,5,Crashes,1307
3,2020,6,Crashes,1506
3,2020,7,Crashes,1618
3,2020,8,Crashes,1677
3,2020,9,Crashes,1687
3,2020,10,Crashes,1818
3,2020,11,Crashes,1614
3,2020,12,Crashes,1627
3,2019,1,Crashes,1748
3,2019,2,Crashes,1660
3,2019,3,Crashes,2019
3,2019,4,Crashes,1902
3,2019,5,Crashes,2077
3,2019,6,Crashes,1967
3,2019,7,Crashes,1896
